# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE LECCE (ANAC)
# 2110 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B47048B0AC;2024-11-27;CORELAB AREA SIERO - LABORATORI PO FAZZI, GALATINA,COPERTINO,SCORRANO,GALLIPOLI,CASARANO E DSS LECCE;67201021;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B0698671F4;2024-02-19;CORELAB AREA SIERO - LABORATORI PO FAZZI, GALATINA,COPERTINO,SCORRANO,GALLIPOLI,CASARANO E DSS LECCE;60901021;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A066D8B2BF;2023-07-18;ADESIONE LOTTO 2 (ASL LECCE) - SERVIZIO DI RISTORAZIONE AI DEGENTI E AI PAZIENTI RICOVERATI PRESSO I PP.OO. E LE STRUTTURE SANITARIE;39044368;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI DISTRIBUZIONE PASTI;
96364645A8;2023-02-10;SERVIZIO DI GESTIONE DELLA STERILIZZAZIONE DEI DISPOSITIVI MEDICI E STRUMENTARIO CHIRURGICO, RIQUALIFICAZIONE OPERATIVA, GESTIONE E MANUTENZIONE DELLA SUBCENTRALE;26481300;PROCEDURA APERTA;APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE;SERVIZI OSPEDALIERI S.P.A.
B0D06544BF;2024-03-15;SERVIZIO DI VIGILANZA E SERVIZI AGGIUNTIVI;14229455;PROCEDURA APERTA;SERVIZI DI VIGILANZA DI EDIFICI;COSMOPOL S.P.A.
A0037014D4;2023-08-09;APPROVAZIONE DEL PIANO DEI FABBISOGNI PER ADESIONE ALL'ACCORDO QUADRO CONSIP 'SERVIZI APPLICATIVI IN OTTICA CLOUD E PMO' - LOTTO 2, PER L'IMPLEMENTAZIONE DEL NUOVO SISTEMA INFORMATIVO NELL'AMBITO DEL PROGETTO DI INVESTIMENTO PNRR 'M6C2-1.1.1 AMMODERNAMENTO DEL PARCO TECNOLOGICO E DIGITALE OSPEDALIER;11510000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PROGRAMMAZIONE DI SOFTWARE DI SISTEMI E DI UTENTE;IBM ITALIA S.P.A.
A026C220C5;2023-11-08;FORNITURA DI ENERGIA ELETTRICA E DEI SERVIZI CONNESSI PER LE PUBBLICHE AMMINISTRAZIONI (ED. 20) - ID SIGEF: 2513 - LOTTO 14;10622951;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;EDISON ENERGIA S.P.A.
9765337306;2023-04-07;AS N. 8 - N.GARA 8449324_CONVENZIONE_LOTTO_78-91-119_JANSSEN-CILAG;10000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;JANSSEN CILAG S.P.A.
98688153C5;2023-06-09;SERVIZIO DI MANUTENZIONE E GESTIONE DELLE RETI/CENTRALI TELEFONICHE, DELLA RETE INFORMATICA E DELLE POSTAZIONI LAVORO DELLA ASL DI LECCE. ADESIONE ACCORDO QUADRO CONSIP;10000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MANUTENZIONE E RIPARAZIONE DI ATTREZZATURA INFORMATICA;
B4A715F585;2024-12-05;ADESIONE AQ SUTURE CHIRURGICHE 3 - LOTTO 13;10000000;AFFIDAMENTO DIRETTO;SUTURE CHIRURGICHE;JOHNSON & JOHNSON MEDICAL S.P.A.
