# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA BIANCHI MELACRINO MORELLI DI REGGIO CALABRIA (ANAC)
# 2717 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
9697686FA3;2023-01-31;CONSIP MIES 2 LOTTO 12 CONVENZIONE PER L'AFFIDAMENTO DI UN MULTISERVIZIO TECNOLOGICO INTEGRATO CON FORNITURA DI ENERGIA PER GLI EDIFICI IN USO, A QUALSIASI TITOLO, ALLA PUBBLICHE AMMINISTRAZIONI SANITARIE, EDIZIONE 2 ID 1372 RINEGOZIAZIONE CONTRATTUALE AI SENSI DEL D. LGS N. 115/2008;89040797;AFFIDAMENTO DIRETTO;SERVIZI DI GESTIONE ENERGIA;RENOVIT PUBLIC SOLUTIONS S.P.A.
9813540565;2023-04-28;APPALTO SPECIFICO N. 1 FORNITURA MEDICINALI DECRETO REGIONALE SUA 2596 E 3754/2023 LOTTO 44;24181200;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A062E6AA42;2024-03-11;LOTTO 1473 ADESIONE APPALTO SPECIFICO N.7 INDETTO DALLA REGIONE CALABRIA PER LA FORNITURA DI PRODOTTI FARMACEUTICI DESTINATI ALLE AZIENDE DEL SISTEMA SANITARIO REGIONALE NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE;10080000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B421B21A07;2024-11-07;SISTEMI ANALITICI CHIMICA CLINICA, IMMUNOCHIMICA SISTEMA AUTOMATICO CORELAB;9800000;PROCEDURA APERTA;SISTEMI DIAGNOSTICI;
B420BC091D;2024-11-05;FORNITURA SUTURATRICI MECCANICHE LOTTO 6;8720220;AFFIDAMENTO DIRETTO;TECNICA OPERATORIA;MEDTRONIC ITALIA S.P.A.
B4CE1FC7FF;2024-12-16;GARA EUROPEA A PROCEDURA TELEMATICA APERTA PER L'AFFIDAMENTO - PER ANNI CINQUE, OLTRE EVENTUALE PROROGA PER ANNI UNO - DEI SERVIZI CORRELATI ALLA FORNITURA DI GAS MEDICALI E TECNICI, ED ALLA GESTIONE E MANUTENZIONE DEGLI IMPIANTI E DELLE CENTRALI DEL G.O.M. DI REGGIO CALABRIA.;8439330;PROCEDURA APERTA;GAS MEDICI;
9713117DB4;2023-03-16;SDAPA CONSIP CONTRATTO PONTE. AFFIDAMENTO DEL SERVIZIO DI RISTORAZIONE COLLETTIVA IN AMBITO SANITARIO;7910669;PROCEDURA APERTA;PASTI PER OSPEDALI;BREAK SRL
A0558C29B1;2024-03-11;LOTTO 1489 ADESIONE APPALTO SPECIFICO N.7 INDETTO DALLA REGIONE CALABRIA PER LA FORNITURA DI PRODOTTI FARMACEUTICI DESTINATI ALLE AZIENDE DEL SISTEMA SANITARIO REGIONALE;7520352;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A05435C11D;2024-03-11;LOTTO 1403 ADESIONE APPALTO SPECIFICO N.7 INDETTO DALLA REGIONE CALABRIA PER LA FORNITURA DI PRODOTTI FARMACEUTICI DESTINATI ALLE AZIENDE DEL SISTEMA SANITARIO REGIONALE NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE;6428903;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B35D61FF5C;2024-10-10;SERVIZIO DI GESTIONE DEL CENTRALINO TELEFONICO, DEL CUP TELEFONICO E DEL CUP FRONT-OFFICE E BACK-OFFICE DEL GRANDE OSPEDALE METROPOLITANO BIANCHI – MELACRINO - MORELLI (G.O.M.)DI REGGIO CALABRIA;6369291;PROCEDURA APERTA;SERVIZI AMMINISTRATIVI IN CAMPO SANITARIO;GESAN S.R.L.
9915847FCA;2023-06-30;SACCHE DI DONAZIONE E APPARECCHIATURA IN SERVICE PER PREPARAZIONE EMOCOMPONENTI;5582400;PROCEDURA APERTA;APPARECCHI E STRUMENTI PER TRASFUSIONE E INFUSIONE;FAS HOSPITAL S.R.L
B30FC1F116;2024-09-18;PROCEDURA APERTA AI SENSI DELL'ART. 71 DEL D.LGS. N. 36/2023, IN MODALITÀ TELEMATICA APPLICATION SERVICE PROVIDER (A.S.P.), PER LA FORNITURA IN SOMMINISTRAZIONE, PER ANNI TRE, DI DISPOSITIVI E PRESIDI PER IL SISTEMA ROBOTICO XI DA VINCI IN DOTAZIONE ALLA U.O.S.D. BLOCCO OPERATORIO DEL G.O.M.;5435208;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A053BF87C7;2024-03-11;LOTTO 1528 ADESIONE APPALTO SPECIFICO N.7 INDETTO DALLA REGIONE CALABRIA PER LA FORNITURA DI PRODOTTI FARMACEUTICI DESTINATI ALLE AZIENDE DEL SISTEMA SANITARIO REGIONALE NELL'AMBITO DEL SISTEMA DINAMICO DI ACQUISIZIONE DELLA PUBBLICA AMMINISTRAZIONE;5327137;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
