# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO GAETANO MARTINO DI MESSINA (ANAC)
# 1304 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B26F3D234C;2024-07-11;FORNITURA DI ENERGIA ELETTRICA A PREZZO VARIABILE;250644765;AFFIDAMENTO DIRETTO;ELETTRICITÀ;ENEL ENERGIA SPA
A01DC9BF78;2023-11-10;LOTTO 186 - TUTA PER LA PROTEZIONE DA AGENTI INFETTIVI E CHIMICI (CHEMIOTERAPICI) E PARTICOLATO NUCLEARE . TUTA CON CAPPUCCIO, CALZARI INCORPORATI, ALLACCIATURA ANTERIORE PROTETTA CON PATELLA CON DOPPIA PATELLA, SISTEMA BLOCCA POLSINO ALLE MANICHE. CUCITURE AD ULTRASUONI E NASTRATE. MATERIALE ACCOPP;39302400;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;RAYS  S.P.A.
9885959771;2023-05-04;RECEPIMENTO LOTTO 31 - GARA REGIONALE CUC D.D. 76 DEL 17/04/2023;19500570;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A0269847DC;2023-11-10;LOTTO 312 - GUANTI MONOUSO IN NITRILE NON STERILI DEPOLVERATI, DEVONO POSSEDERE CERTIFICAZIONE CE DI TIPO E CLASSE DI APPARTENENZA DEL DISPOSITIVO;14881230;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A01DBFFEBC;2023-11-10;LOTTO 82 - RESPIRATORE FACCIALE FILTRANTE FFP3, IN MATERIALE MORBIDO ALTAMENTE CONFORMABILE AL VISO DELL'OPERATORE. STRINGINASO INCORPORATO CONFORMABILE, SENZA VALVOLA, BORDATURA ELASTICA E ATTACCO NUCALE.;14862600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B40E8D780D;2024-10-30;LOTTO 7 - RECEPIMENTO D.D. N° 204 DEL 23 OTTOBRE 2024 CONCERNENTE LA PROCEDURA DI GARA, SUDDIVISA IN 23 LOTTI, PER L'AFFIDAMENTO DELLA FORNITURA TRIENNALE, IN SOMMINISTRAZIONE, DEI PRODOTTI FARMACEUTICI AVENTI CARATTERE DI ESCLUSIVITÀ OCCORRENTI ALLE AA.OO.SS. DELLA SICILIA, AGGIORNAMENTI PTORS N. 9;14031495;AFFIDAMENTO DIRETTO;MEDICINALI VARI;ALEXION PHARMA ITALY SRL  - SOC. UNIPERSONALE -
A057B335B7;2024-04-17;SERVIZIO DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI AIC, DEI GAS FU E DM, DEI GAS TECNICI E DI LABORATORIO E DELLA MANUTENZIONE DEGLI IMPIANTI DI PRODUZIONE E DI DISTRIBUZIONE.;13945478;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI OSSIGENOTERAPIA;
A026CE94FC;2023-11-10;LOTTO 227 - RESPIRATORE FACCIALE FFP2 CON ELASTICI DIETRO LE ORECCHIE E STRINGINASO CONFORMABILE NORMATIVA EN 149:2001+A1:2009;13289124;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;CHEMIL S.R.L.
A01DBFEDE9;2023-11-10;LOTTO 81 - MASCHERINA CHIRURGICA MONOUSO IN TNT, CON LACCI, ALTO POTERE FILTRANTE, A TRE STRATI, STRINGINASO CONFORMABILE INCORPORATO, PRIVA DI FIBRE DI VETRO, LATEX FREE.;12978900;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;RAYS  S.P.A.
A02697E2EA;2023-11-10;LOTTO 300 - GUANTI NON CHIRURGICI (NON STERILI DA ESAMINAZIONE) IN LATTICE NON TALCATI.;11630640;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;CHEMIL S.R.L.
