# Ospedali Trasparenti — contratti pubblici di AZIENDA SANITARIA LOCALE TO3 (ANAC)
# 6106 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
968249252A;2023-03-13;PROCEDURA APERTA PER L'AFFIDAMENTO ELLA FORNITURA, GESTIONE E SVILUPPO DEL SISTEMA INFROMATIVO AZIENDALE;64740900;PROCEDURA APERTA;SERVIZI DI GESTIONE CONNESSI ALL'INFORMATICA;GPI S.P.A.
B7C6922E03;2025-09-26;SISTEMA DI MAPPAGGIO ELETTROANATOMICO PER ABLAZIONE;57670800;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B6A1E62A2A;2025-04-28;SERVIZIO INTEGRATO ENERGIA SIE 3 - LOTTO 1 - RINEGOZIAZIONE CONTRATTUALE AI SENSI DEL D.LGS. 115/2008 E S.M.I.;40000000;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI MECCANICI DI EDIFICI;GETEC ITALIA S.P.A.
B14B0F840D;2024-05-31;SISTEMA PROTESICO DI GINOCCHIO COMPLETO: MONOCOMPARTIMENTALE, DA PRIMO IMPIANTO E DA REVISIONE IN DIFFERENTI CONFIGURAZIONI;30476250;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B7C6925081;2025-09-26;SISTEMA DI ABLAZIONE A CAMPO PULSATO;22854000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B7C6933C0B;2025-09-26;SISTEMA DI CHIUSURA DELL AURICOLA SINISTRA;13482000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B14B103D1E;2024-05-31;SISTEMA PROTESICO DI SPALLA COMPLETO STANDARD;11381250;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
A003F7D538;2023-08-16;M6C2 1.2 VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE (PNRR E PNC) - SUB-LOTTO PRESTAZIONALE 3: LAVORI. RECEPIMENTO ESITI. - P.O. DI RIVOLI (SISMICA);10760994;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;IMPRESA DEVI IMPIANTI SRL
B91D5D3A50;2025-11-18;FORNITURA IN SERVICE DI SISTEMI COMPLETI PER LA DIAGNOSTICA EMATOLOGICA PER I LABORATORI ANALISI DELL'ASL TO3 E ASL TO5;10237200;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A02968F38C;2023-11-09;2561_2 I AS ENTYVIO 108 MG SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA 2SIR;9420352;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
A0607C77F3;2023-05-25;GARA SCR 137-2018 SERVIZI DI PULIZIA SANIFICAZIONE E SERVIZI ACCESSORI A RIDOTTO IMPATTO AMBIENTALE PER LE AZIENDE DEL SERVIZIO SANITARIO DELLA REGIONE PIEMONTE E PER L'AZIENDA USL VALLE D'AOSTA;9036885;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
A03DBEB248;2023-12-27;APPALTO SPECIFICO PER L'AFFIDAMENTO DEL SERVIZIO DI VIGILANZA ARMATA AGLI IMMOBILI IN PRESENZA E DA REMOTO;8552915;PROCEDURA RISTRETTA;SERVIZI DI SICUREZZA;SICURITALIA S.P.A.
B5FD5FD812;2025-03-11;SERVIZIO DI SOMMINISTRAZIONE LAVORO OCCORRENTE ALLE AZIENDE A.S.L. TO3, A.O.U. SAN LUIGI, A.S.L. CN2;8229957;AFFIDAMENTO DIRETTO;SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO;RANDSTAD ITALIA S.P.A.
B14B0FC759;2024-05-31;SISTEMA DI PROTESI TOTALE DI GINOCCHIO CON PRIMO IMPIANTO A PIVOT MEDIALE;8148750;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B14B113A53;2024-05-31;SISTEMA DI CEMENTAZIONE PRE-CARICATO CON ANTIBIOTICO;7668750;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
962057801F;2023-02-06;LOTTO 1 - FORNITURA DI AUSILI PER INCONTINENTI PER LE AZIENDE DEL SERVIZIO SANITARIO DELLA REGIONE PIEMONTE. ADESIONE ALL'ACCORDO QUADRO DI SCR PIEMONTE PER LA FORNITURA IN AMBITO OSPEDALIERO E TERRITORIALE DI AUSILI PER INCONTINENZA A MINOR IMPATTO AMBIENTALE (GARA 64-2022).;7400000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;PRODOTTI PER L'INCONTINENZA;FATER S.P.A.
B145256C1D;2024-04-16;FARMSCR2575;7364380;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B14B0FA5B3;2024-05-31;SISTEMA DI PROTESI DI GINOCCHIO A RISPETTO DELLA CINEMATICA ARTICOLARE: PRIMO IMPIANTO E DA REVISIONE;6605250;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B14B0FB686;2024-05-31;SISTEMA COMPLETO DI PROTESI DI GINOCCHIO;6128250;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B7C693A1D5;2025-09-26;SISTEMA COMPLETO PER LA RIMOZIONE COMPLESSA DI ELETTROCATERI PER LA STIMOLAZIONE CARDIACA PERMANENTE DEFIBRILLATORIIMPIANTABILI PER VIA VENOSA;5886000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A028DDC5C4;2023-11-20;FORNITURA I ENERGIA ELETTRICA N. 15 ANNO 2024 - ADESIONE A CONVENZIONE SCR PIEMONTE;5600000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;ELETTRICITÀ;NOVA AEG S.P.A
B7C692D719;2025-09-26;ELETTROCATETERI OTTO-DECAPOLARI;5336640;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A003FC6177;2023-08-16;M6C2 1.2 VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE (PNRR E PNC) - SUB-LOTTO PRESTAZIONALE 3: LAVORI. RECEPIMENTO ESITI. - P.O. DI PINEROLO (SISMICA);4708064;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;GIUGLIANO COSTRUZIONI METALLICHE SOCIETA' A RESPONSABILITA' LIMIT ATA CON SIGLA GIUGLIANO COSTRUZIONI METALLICHE S.R.L.
B14B0FD82C;2024-05-31;SISTEMA COMPLETO CON PRIMO IMPIANTO E PROTESI DA REVISIONE DI PROTESI DI GINOCCHIO CON POSSIBILITA' DI GESTIONE DI CASI COMPLESSI;4630500;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
B7C6934CDE;2025-09-26;SISTEMA PERCUTANEO DI CHIUSURADELL AURICOLA SINISTRA A LEGATURA EPICARDICA;4590000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
9788055E7F;2023-04-21;OFFICINE ELETTRICHE DELL'A.S.L. TO3;4500000;AFFIDAMENTO DIRETTO;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ELETTRICI DI EDIFICI;GETEC ITALIA S.P.A.
B9C2E1DA41;2025-12-22;TRATTAMENTI EMODIALITICI;4331602;AFFIDAMENTO DIRETTO;SERVIZI DI DIALISI OSPEDALIERA;FRESENIUS MEDICAL CARE ITALIA SPA
B14B114B26;2024-05-31;SPAZIATORE GINOCCHIO, ANCA E SPALLA PRE-FORMATI;4329000;PROCEDURA APERTA;PROTESI ORTOPEDICHE;
970899869B;2023-03-28;DISPOSITIVO FACILITANTE LA COMUNICAZIONE;4304571;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;DIDACARE S.R.L.
B11F0F298B;2024-04-05;FARMSCR0107;4208960;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;SANOFI S.R.L.
96823976C4;2023-02-06;PROROGA SERVIZIO GESTIONE E SVILUPPO SISTEMA INFORMATIVI AZIENDALE;4115703;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;SERVIZI DI GESTIONE CONNESSI ALL'INFORMATICA;DEDALUS ITALIA S.P.A.
B13B0D11DA;2024-04-12;FARMSCR1086;4025483;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;ELI LILLY ITALIA - S.P.A.
98027193A0;2023-05-05;PRESA D'ATTO DEL RINNOVO DELLA CONVENZIONE SCR PER IL SERVIZIO DI GESTIONE DELLE APPARECCHIATURE ELETTROMEDICALI PRESENTI PRESSO L'ASL TO3 (LOTTO N. 1);4000000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICO-CHIRURGICHE;
B44A56ABE4;2024-11-15;ENERGIA ELETTRICA SCR;4000000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;NOVA AEG S.P.A
B8EFD2DD95;2025-11-04;ENERGIA ELETTRICA SCR 2026;4000000;AFFIDAMENTO DIRETTO;ELETTRICITÀ;NOVA AEG S.P.A
A048C2D621;2024-01-16;MICROINFUSORE PER INSULINA (LOTTO 1 GARA SCR);3990000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;APPARECCHI E STRUMENTI PER INFUSIONE;MOVI SPA
9735993B94;2023-05-26;LOTTO N. 2 - SISTEMI INFUSIONALI PER REPARTO;3772134;PROCEDURA APERTA;POMPE PER INFUSIONE;SELEFAR S.R.L.
B13ACDCDE2;2024-04-12;FARMSCR1085;3762144;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;VERTEX PHARMACEUTICALS (ITALY) S.R.L.
B9C182485C;2025-12-22;DIALISI 5 LOTTO 1 TRATTAMENTI NIPRO;3750342;AFFIDAMENTO DIRETTO;SERVIZI DI DIALISI OSPEDALIERA;NIPRO MEDICAL ITALY S.R.L.
B5357FB3B7;2025-02-26;FORNITURA IN SERVICE DI SISTEMI PER EMOGASANALISI CON CONTROLLO REMOTO DAL LABORATORIO.;3500000;PROCEDURA APERTA;APPARECCHIATURE BIOMEDICHE;
B7C692C646;2025-09-26;ELETTROCATETERI QUADRIPOLARI-ESAPOLARI;3468600;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
B79E5F9D5C;2025-07-14;GESTIONE DI ATTIVITA' SANITARIE, TERAPEUTICHE E RIABILITATIVE A FAVORE DEI PAZIENTI SEGUITI DAL DIPARTIMENTO INTERAZIENDALE DI SALUTE MENTALE (D.I.S.M.) DELL'ASLTO 3 PRESSO LA S.R.P. 2.1. IL BAROCCHIO;3457098;PROCEDURA APERTA;SERVIZI SANITARI E DI ASSISTENZA SOCIALE;
B7C69282FA;2025-09-26;MATERIALE PER SISTEMA ROBOTICO DI NAVIGAZIONE MAGNETICA;3441000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A003FFDED6;2023-08-16;M6C2 1.2 VERSO UN NUOVO OSPEDALE SICURO E SOSTENIBILE (PNRR E PNC) - SUB-LOTTO PRESTAZIONALE 3: LAVORI. RECEPIMENTO ESITI. - P.O. DI SUSA (SISMICA);3380450;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;MATTIODA PIERINO & FIGLI S.P.A.
