# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERA COMPLESSO OSPEDALIERO SAN GIOVANNI ADDOLORATA (ANAC)
# 2467 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
B1B98F83FD;2024-05-17;LICENZE VMWARE PER SERVER CED - PNRR;70000000;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;TIM S.P.A.
9739858117;2023-03-29;PROCEDURA APERTA DI CARATTERE COMUNITARIO AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016 E SMI PER IL SERVIZIO DI NOLEGGIO, STERILIZZAZIONE, LOGISTICA E MANUTENZIONE DI STRUMENTARIO CHIRURGICO E ALTRI DM PER L'ATTIVITÀ DI SALA OPERATORIA AMBULATORIALE E SERVIZI DELL' AZIENDA OSPEDALIERA S.GIOVANNI ADDOLOR;22349790;PROCEDURA APERTA;SERVIZI OSPEDALIERI;SO.GE.SI. S.P.A.
B2C5E89DBA;2024-08-14;SERVIZIO DI SUPPORTO ASSISTENZIALE CORRISPONDENTE ALLE MANSIONI PROPRIE DEL PROFILO PROFESSIONALE DI OPERATORE SOCIO SANITARIO (OSS);13930533;PROCEDURA APERTA;SERVIZI OSPEDALIERI E AFFINI;P.G. MELANIE KLEIN - COOPERATIVA SOCIALE
A01478EF51;2023-10-11;PNRR - ADESIONE ACCORDO QUADRO PER APPALTO INTEGRATO MIGLIORAMENTO SISMICO P.O. SAN GIOVANNI CORPI B E D;11119585;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI RISTRUTTURAZIONE;
B2F09E7C6F;2024-09-06;SERVIZI OSPEDALIERI;10808003;PROCEDURA APERTA;SERVIZI OSPEDALIERI;
B42FBB913D;2024-11-08;ADESIONE SETTIMA TRANCHE FARMACI 2024, LOTTI 14, 15, 108 E 233, ROCHE;9751900;AFFIDAMENTO DIRETTO;;ROCHE SOCIETA' PER AZIONI
B9079AAABC;2025-11-12;SERVIZIO AUSILIARIATO;9369544;PROCEDURA APERTA;VARI SERVIZI SANITARI;
B26AAA4F7F;2024-07-10;ORDINATIVO PER FARMACI 2024 3 TRANCHE;5918980;AFFIDAMENTO DIRETTO;APPARECCHIATURE MEDICHE, PRODOTTI FARMACEUTICI E PER LA CURA PERSONALE;VIIV HEALTHCARE S.R.L.
9652453034;2023-04-07;FORNITURA GAS MEDICINALI;5817511;PROCEDURA APERTA;GAS MEDICI;SICO SOCIETA' ITALIANA CARBURO OSSIGENO S.P.A.
9746016AD2;2023-03-22;ADESIONE GARA REGIONALE FARMACI - QUINTA TRANCHE 2022 - DITTA MSD ITALIA L 102;5692416;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;MSD ITALIA S.R.L.
B130C8E444;2024-04-11;TESSUTI NON TESSUTI;5201642;PROCEDURA APERTA;TESSUTI NON TESSUTI;MOLNLYCKE HEALTH CARE S.R.L.
