# Ospedali Trasparenti — contratti pubblici di AZIENDA OSPEDALIERO-UNIVERSITARIA "SS.ANTONIO E BIAGIO E C.ARRIGO" ALESSANDRIA (ANAC)
# 3694 contratti. Importi = valore messo a gara. Fonte: dati.anticorruzione.it
cig;data;oggetto;importo_euro;procedura;cpv;fornitore
A043B975B7;2024-01-02;RECEPIMENTO DELIBERA ASL AL N. 635 DEL 31/07/2023 - SERVIZIO DI PULIZIA, DISINFEZIONE, DISINFESTAZIONE, RACCOLTA RIFIUTI ED ATTIVITA' COMPLEMENTARI PRESSO I PRESIDI AO AL DI DURATA QUINQUENNALE;16610400;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;SERVIZI DI PULIZIA;
B4EEF3ECD8;2024-12-21;ADESIONE CONVENZIONE CONSIP SERVZI PULIZIE ENTI SSN AOU AL;16340000;AFFIDAMENTO DIRETTO;SERVIZI DI PULIZIA;DUSSMANN SERVICE S.R.L.
B1904022C8;2024-05-07;AXICABTAGENE CILOLEUCEL;8310509;AFFIDAMENTO DIRETTO;Cpv prevalente non disponibile;GILEAD SCIENCES S.R.L.
B31E7253A3;2024-09-23;Pompe infusionali a siringa, volumetriche, a siringa con TCI, Sistemi modulari di impilabilità, per Area critica e Sale Operatorie- durata 84 mesi;7599610;PROCEDURA APERTA;POMPE PER INFUSIONE;
B777DA6206;2025-07-01;SERVICE RADIOLOGIA;7250000;PROCEDURA APERTA;DISPOSITIVI E PRODOTTI MEDICI VARI;
A057E4A279;2024-04-23;LOTTO 2628-DARATUMUMAB-GARA SCR 131-23 VII AS;5817708;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
B5866E3ADC;2025-02-07;INTEGRATORE PER OS A CONSISTENZA CREMOSA;5727120;PROCEDURA APERTA;PRODOTTI ALIMENTARI VARI;
9838905940;2023-06-28;LOTTO 13 18F-FLUORODESOSSIGLUCOSIO;5703925;PROCEDURA APERTA;MEDICINALI VARI;CURIUM ITALY S.R.L.
B31E7242D0;2024-09-23;Pompe infusionali a siringa e volumetriche per reparti degenza - durata 84 mesi;5604610;PROCEDURA APERTA;POMPE PER INFUSIONE;
B5E3C85094;2025-04-11;SISTEMA PROTESICO TOTALE DI GINOCCHIO DA PRIMO IMPIANTO CEMENTATO;5208000;PROCEDURA APERTA;SOSTEGNO FUNZIONALE;
A055EDB1E1;2024-04-09;ADESIONE ALLA GARA SCR 130-2023 FORNITURA DI STRUTRUMENTARIO E MATERIALE DI CONSUMO PER CHIRURGIA ROBOTICA ASSISTITA DA VINCI;5022511;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;STRUMENTI CHIRURGICI;
A0587EB4A7;2024-04-30;LOTTO 1613-PEMBROLIZUMAB-GARA SCR 131-23 VII AS;4520840;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;MEDICINALI VARI;
9975777F97;2023-07-04;LAVORI DI MIGLIORAMENTO SISMICO DEL COMPLESSO OSPEDALIERO INFANTILE 'CESARE ARRIGO' DI ALESSANDRIA;4200000;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;LAVORI DI COSTRUZIONE DI STRUTTURE OSPEDALIERE;
B3F99861D3;2024-10-24;FORNITURA DI ROBOT CHIRURGICO, OCCORRENTE ALL'AZIENDA OSPEDALIERO UNIVERSITARIA SS ANTONIO E BIAGIO E C. ARRIGO DI ALESSANDRIA;4100160;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;APPARECCHI PER SALA OPERATORIA;
